Weight,Height
74,242
69,162
74,213
72,220
70,206
67,152
69,184
68,168
67,176
63,156
71,187
72,214
65,167
69,189
69,186
68,172
72,196
64,173
70,186
68,182
68,174
69,198
66,149
75,229
68,162
68,192
69,184
73,207
67,175
68,154
69,188
74,213
72,195
69,205
70,204
70,193
69,197
67,184
66,164
64,163
68,172
72,194
65,169
66,161
68,165
70,189
68,187
72,209
69,192
73,211
65,166
70,201
68,173
67,181
67,170
66,163
68,190
71,192
71,198
70,210
71,199
70,198
74,195
67,165
71,180
65,155
68,185
73,221
68,183
69,196
69,185
71,208
70,177
68,163
73,216
71,205
72,201
72,221
67,196
66,169
68,181
68,199
74,238
70,173
66,161
71,189
67,208
69,193
68,174
72,197
72,202
65,181
71,182
65,178
67,165
65,166
72,193
67,181
66,173
69,177
70,201
67,168
66,154
68,178
70,184
69,179
68,159
66,167
69,172
68,174
69,188
68,201
72,205
69,179
67,164
74,223
70,203
68,189
68,178
72,223
64,167
69,180
67,164
63,150
72,193
71,202
68,180
71,196
69,188
66,172
67,192
66,166
71,186
68,178
64,151
71,210
68,174
68,180
68,168
68,183
69,170
66,173
66,181
67,184
69,206
71,184
71,202
71,216
66,159
73,210
67,179
65,147
71,196
70,170
65,170
69,198
69,180
62,147
69,177
65,185
64,177
69,170
72,199
67,203
67,193
65,178
66,163
68,159
66,172
70,202
