Make,Model,January,February,March,April,May,June,July,August,September,October ,November ,December,Total,Segment,Body Type,MoM %,YoY %,,
Citroen,Basalt,0,0,0,0,0,0,0,579,341,221,47,79,1267,C2,SUV,68,0,,
Citroen,C3,234,211,265,251,155,77,90,507,300,300,200,300,2890,C1,Hatchback,50,-3,,
Citroen,Aircross,231,127,211,93,125,136,68,38,41,103,201,96,1470,C2,SUV,-52,-72,,
Citroen,C5 Aircross,1,0,0,1,0,0,0,1,1,4,0,1,9,D2,SUV,0,-50,,
Citroen,e-C3,184,83,530,59,235,126,177,150,28,89,61,90,1812,C1,SUV,48,0,,
Honda,Amaze,"2,972","2,774","2,678","1,796","2,215","1,794","2,327","2,585","2,820","2,393","2,628","3,708",30690,C1,Sedan,41,54,,
Honda,City,"1,123","1,184","1,116",824,"1,054",859,957,"1,018",895,"1,004",709,783,11526,C2,Sedan,10,-30,,
Honda,Elevate,"4,586","3,184","3,277","1,731","1,553","2,151","1,340","1,723","1,960","2,149","1,668","2,334",27656,C2,SUV,40,-47,,
Hyundai,Aura,"5,516","5,053","4,883","4,526","4,433","4,299","4,757","4,304","4,462","4,805","4,248","3,852",55138,C1,Sedan,-9,1,,
Hyundai,Alcazar,"1,827","1,290","1,420","1,219",944,882,585,"1,105","2,712","2,204","2,134","1,342",17664,C2,MUV,-37,41,,
Hyundai,Creta,"13,212","15,276","16,458","15,447","14,662","16,293","17,350","16,762","15,902","17,497","15,452","12,608",186919,C2,SUV,-18,36,,
Hyundai,Exter,"8,229","7,582","8,475","7,756","7,697","6,908","6,037","6,632","6,908","7,127","5,747","5,270",84368,C1,SUV,-8,-30,,
Hyundai,Grand i10 ,"6,865","4,947","5,034","5,117","5,328","4,948","4,922","5,365","5,103","6,235","5,667","4,489",64020,B2,Hatchback,-21,-14,,
Hyundai,i20,"7,083","5,131","5,155","5,899","5,169","5,315","4,937","4,913","4,428","5,354","3,925","3,453",60762,B2,Hatchback,-12,-25,,
Hyundai,Ioniq 5,95,66,65,45,42,30,36,40,31,32,22,24,528,Premium,SUV,9,-70,,
Hyundai,Kona,102,86,71,0,0,0,0,0,0,0,0,0,259,Premium,SUV,0,0,,
Hyundai,Tucson,183,157,110,201,168,114,129,125,98,141,84,33,1543,D2,SUV,-61,-84,,
Hyundai,Venue,"11,831","8,933","9,614","9,120","9,327","9,890","8,840","9,085","10,259","10,901","9,754","10,265",117819,C1,SUV,5,-1,,
Hyundai,Verna,"2,172","1,680","1,716","1,571","1,381","1,424","1,420","1,194","1,198","1,272","1,213",872,17113,C2,Sedan,-28,22,,
Jeep,Compass,286,204,329,282,269,216,213,280,310,236,188,175,2988,D1,SUV,-7,-29,,
Jeep,Meridian,110,127,96,95,75,65,63,60,55,188,173,111,1218,D2,SUV,-36,-42,,
Jeep,Wrangler,0,0,0,0,0,0,0,0,0,0,0,0,0,Premium,SUV,0,0,,
Kia,Carens,"5,848","4,832","4,737","5,328","5,316","5,154","5,679","5,881","6,217","6,384","5,672","2,626",63674,Utility,MUV,-54,2,,
Kia,Carnival,0,0,0,0,0,0,0,0,0,255,241,103,599,D2,MUV,-57,0,,
Kia,EV6,0,1,1,5,15,24,22,33,12,50,68,61,292,Premium,SUV,-10,917,,
Kia,Seltos,"6,391","6,265","7,912","6,734","6,736","6,306","5,347","6,536","6,959","6,365","5,364","2,830",73745,C2,SUV,-47,-72,,
